"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1591894487","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1591894489","20","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1591894491","20","GET","/json",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,40,0,16,19,13,71,27
"1591894491","20","","Aggregated",0.00,0.00,16,19,20,20,28,46,71,71,71,71,71,71,40,0,16,19,13,71,27
"1591894493","20","GET","/json",10.00,0.00,16,16,16,17,26,35,35,35,35,35,35,35,60,0,16,18,13,71,27
"1591894493","20","","Aggregated",10.00,0.00,16,17,19,20,26,37,46,71,71,71,71,71,60,0,16,18,13,71,27
"1591894495","20","GET","/json",10.00,0.00,16,16,16,17,26,35,35,35,35,35,35,35,60,0,16,18,13,71,27
"1591894495","20","","Aggregated",10.00,0.00,16,17,19,20,26,37,46,71,71,71,71,71,60,0,16,18,13,71,27
"1591894497","20","GET","/json",10.00,0.00,15,16,16,17,25,29,35,37,37,37,37,37,100,0,16,18,13,71,27
"1591894497","20","","Aggregated",10.00,0.00,16,16,19,20,26,35,46,71,71,71,71,71,100,0,16,18,13,71,27
"1591894499","40","GET","/json",10.00,0.00,17,47,63,75,87,110,110,110,110,110,110,110,140,0,16,32,13,114,27
"1591894499","40","","Aggregated",10.00,0.00,17,47,63,75,87,110,110,110,110,110,110,110,140,0,16,32,13,114,27
"1591894501","40","GET","/json",10.00,0.00,25,60,75,79,90,110,110,110,110,110,110,110,140,0,16,32,13,114,27
"1591894501","40","","Aggregated",10.00,0.00,25,60,75,79,90,110,110,110,110,110,110,110,140,0,16,32,13,114,27
"1591894503","40","GET","/json",12.00,0.00,27,35,43,54,79,90,110,110,110,110,110,110,220,0,21,31,13,114,27
"1591894503","40","","Aggregated",12.00,0.00,27,35,43,54,79,90,110,110,110,110,110,110,220,0,21,31,13,114,27
"1591894505","40","GET","/json",14.00,0.00,32,37,44,54,79,90,110,110,110,110,110,110,260,0,23,30,13,114,27
"1591894505","40","","Aggregated",14.00,0.00,32,37,44,54,79,90,110,110,110,110,110,110,260,0,23,30,13,114,27
"1591894507","40","GET","/json",14.00,0.00,28,32,35,36,39,44,45,46,51,51,51,51,260,0,23,30,13,114,27
"1591894507","40","","Aggregated",14.00,0.00,28,32,35,36,39,44,45,46,51,51,51,51,260,0,23,30,13,114,27
"1591894509","60","GET","/json",20.00,0.00,32,39,51,150,280,320,360,370,390,390,390,390,360,0,27,61,13,393,27
"1591894509","60","","Aggregated",20.00,0.00,32,39,51,150,280,320,360,370,390,390,390,390,360,0,27,61,13,393,27
"1591894511","60","GET","/json",20.00,0.00,46,100,140,160,280,330,370,370,390,390,390,390,420,0,31,64,13,393,27
"1591894511","60","","Aggregated",20.00,0.00,46,100,140,160,280,330,370,370,390,390,390,390,420,0,31,64,13,393,27
"1591894513","60","GET","/json",20.00,0.00,87,130,160,220,300,340,370,370,390,390,390,390,420,0,31,64,13,393,27
